,,Section 0,,,,,,,,,,Section I,,,,,,,,Section II,,,,,,,,,,,,,,Section III,,Section IV,,,,,,,,,,,Section V,,,,,,,,,,,Section VI,,,,,,,,,,,Section VII,,,,,,,,,,,,,Section VIII,,,,,,,Section IX,,,,,,,,,,,,Section X,,,,,,,,,,,,,,,,,,,,Section XI,,,,,,,,,
millecampsi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark","Legs speckled, sometimes sparsely",,,,,,,,,,,,,,,Legs speckled,,,,,,,,,,,,,,,,Maxillary palpus with 4 pale bands,,,,,Tarsomeres 1 to 4 with conspicuous pale bands on at least the apices; wing with pale fringe spots up to lower branch of vein 5 or 6,3rd main dark area without pale interruption,Hindtarsomere 2 either with less than apical 0.4 white or else prominently marked with dark and pale bands,Hindtarsomeres 2 to 4 with conspicuous dark and pale rings in addition to apical pale bands; pale fringe spot present opposite vein 6,Foretarsomeres mainly dark with narrow pale rings,Scales on tergum VIII scanty and confined to posterior margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concolor,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wings entirely dark or unicolorous,Maxillary palpus with 2 well-marked pale bands; hindfemur and hindtibia narrowly pale at apex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruarinus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wings entirely dark or unicolorous,Maxillary palpus and legs entirely dark,"Large species, wing length 4 mm or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhodesiensis,semi-arid regions,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus and legs entirely dark,"Small species, wing length 3.5 mm or less",Very pale brown species with glossy scutum; semi-arid regions only,,"Erect head scales broader, scales white on vertex, dark laterally; all regions",,"Pale areas on wing broader, subcostal pale spot on costa and vein 1",Maxillary palpus unbanded or banding indistinct,Semi-arid regions; pale brown species with poorly contrasting light and dark areas on wing,"Erect head scales broader, scales white on vertex, dark laterally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caroni,cave-dwelling,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus and legs entirely dark,"Small species, wing length 3.5 mm or less","General coloration dark brown, scutum not so; cave-dwelling","Maxillary palpus with or without pale bands, dark at apex",,,,Maxillary palpus unbanded or banding indistinct,Cave-dwelling species; colour and contrast of dark and pale areas on wing variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dthali,semi-arid regions,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wings with at least some areas of paler scales on costa or vein 1, these being sometimes inconspicuous",,,,"Maxillary palpus with 2 to 3 pale bands, pale at apex (sometimes indistinct)","Erect head scales narrow, rod-like, all scales yellowish throughout; semi-arid regions only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodhaini,cave-dwelling,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wings with at least some areas of paler scales on costa or vein 1, these being sometimes inconspicuous",,,,"Maxillary palpus with 2 to 3 pale bands, pale at apex (sometimes indistinct)","Erect head scales broader, scales white on vertex, dark laterally; all regions",Pale and dark areas on wing well contrasted,"Pale areas on wing very narrow, subcostal pale spot present on costa only; cave-dwelling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lounibosi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wings with at least some areas of paler scales on costa or vein 1, these being sometimes inconspicuous",,,,"Maxillary palpus with 2 to 3 pale bands, pale at apex (sometimes indistinct)","Erect head scales broader, scales white on vertex, dark laterally; all regions",Pale and dark areas on wing well contrasted,"Pale areas on wing broader, subcostal pale spot on costa and vein 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smithii,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,,Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wings with at least some areas of paler scales on costa or vein 1, these being sometimes inconspicuous",,,,"Maxillary palpus with or without pale bands, dark at apex",,,,"Maxillary palpus with 3 pale bands, dark at apex",,,Maxillary palpus smooth except at extreme base,,"Maxillary palpus with apex dark, sometimes only narrowly so","Stem of wing vein 4 largely dark, upper branch of vein 5 with one narrow pale area, pale fringe spots absent",,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with at most 1 pale interruption,,"Wing, apart from costa and vein 1, predominantly dark, no pale spots on basal 0.25 of costa",Wing vein 6 with proximal pale spot,Basal 0.2 of wing vein 1 either dark or with a proximal pale patch not extending to base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caroni,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus and legs entirely dark,"Small species, wing length 3.5 mm or less","General coloration dark brown, scutum not so; cave-dwelling","Maxillary palpus with or without pale bands, dark at apex",,,,Maxillary palpus unbanded or banding indistinct,Cave-dwelling species; colour and contrast of dark and pale areas on wing variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamoni,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wings with at least some areas of paler scales on costa or vein 1, these being sometimes inconspicuous",,,,"Maxillary palpus with or without pale bands, dark at apex",,,,Maxillary palpus unbanded or banding indistinct,Cave-dwelling species; colour and contrast of dark and pale areas on wing variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanhoofi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,Wing entirely dark or with pale spots confined to costa and vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wings with at least some areas of paler scales on costa or vein 1, these being sometimes inconspicuous",,,,"Maxillary palpus with or without pale bands, dark at apex",,,,Maxillary palpus unbanded or banding indistinct,Cave-dwelling species; colour and contrast of dark and pale areas on wing variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azaniae,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,,Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wings with at least some areas of paler scales on costa or vein 1, these being sometimes inconspicuous",,,,"Maxillary palpus with or without pale bands, dark at apex",,,,Maxillary palpus unbanded or banding indistinct,Semi-arid regions; pale brown species with poorly contrasting light and dark areas on wing,"Erect head scales narrow, rod-like, all scales yellowish throughout",,,,,,,,,,,,Maxillary palpus entirely dark or without distinct pale bands,"Small, pale brown species, pale patches on wing indistinct, basal 0.25-0.5 of costa entirely dark; head scales narrow and yellowish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obscurus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus shaggy to near tip,Maxillary palpus entirely dark; hindtarsomeres 3 and 4 dark or narrowly pale at apices,,,,,,,,,,Maxillary palpus entirely dark or without distinct pale bands,"Wing with well-contrasting pale and dark areas, basal 0.25 of costa with at least 1 pale area, even if narrow; head scales not so","Costa with humeral pale spot, no subapical (preapical) pale spot on costa and vein 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tchekedii,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing without a pale spot on basal 0.5 of costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus smooth except at extreme base,,"Maxillary palpus with apex dark, sometimes only narrowly so","Stem of wing vein 4 largely pale, upper branch of vein 5 with 2 pale spots or largely pale, fringe spots present opposite vein 4 and upper branch of vein 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daudi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing without a pale spot on basal 0.5 of costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus smooth except at extreme base,,Maxillary palpus with apex pale,,Costa entirely dark except for a few indistinct pale scales subapically; maxillary palpus with a broad apical pale band and otherwise dark except for a narrow basal pale band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wellcomei,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,"Wing with pale interruption in 3rd main dark area (preapical dark spot) of vein 1, sometimes fused with preceding pale area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus smooth except at extreme base,,Maxillary palpus with apex pale,,Outer 0.5 of costa with 1–3 well-marked pale areas; maxillary palpus not so,"Maxillary palpus with 3 pale bands, subapical band broad and about equal in length to apical band","Wing, apart from costa, generally very pale, basal 0.5 of stems of veins 2 and 4 entirely pale",,,,,,,,,,,,,,,,,,,,,,,,,2nd and 3rd main dark areas of wing (median and preapical dark spots) absent from vein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erepens,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing without a pale spot on basal 0.5 of costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus smooth except at extreme base,,Maxillary palpus with apex pale,,Outer 0.5 of costa with 1–3 well-marked pale areas; maxillary palpus not so,"Maxillary palpus with 3 pale bands, subapical band broad and about equal in length to apical band","Dark areas on wing greater than or about equal to pale areas, basal 0.5 of stems of veins 2 and 4 largely dark","No pale fringe spots posterior to wing vein 3, stem of vein 5 pale except at fork and sometimes narrowly near base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keniensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,3rd main dark area without pale interruption,Wing with 2 pale spots on upper branch of vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus smooth except at extreme base,,Maxillary palpus with apex pale,,Outer 0.5 of costa with 1–3 well-marked pale areas; maxillary palpus not so,"Maxillary palpus with 3 pale bands, subapical band broad and about equal in length to apical band","Dark areas on wing greater than or about equal to pale areas, basal 0.5 of stems of veins 2 and 4 largely dark","Pale fringe spots present opposite all veins from wing apex to vein 5, stem of vein 5 broadly dark near base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,"Subapical pale band on maxillary palpus broad, about equal to or longer than apical dark band",Bases of hindtarsomeres dark,,,,,,,,,,,"Scutal scales on posterior 0.33 of scutum scanty, narrow and yellowish-brown","Moderate-sized species, wing length more than 3.2 mm",,,,,,,,,,,,,,,
fuscivenosus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",,Maxillary palpus with apex pale,Maxillary palpus with less than 4 pale bands,3rd main dark area without pale interruption,Wing with I pale spot on upper branch of vein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus smooth except at extreme base,,Maxillary palpus with apex pale,,Outer 0.5 of costa with 1–3 well-marked pale areas; maxillary palpus not so,Maxillary palpus either with 4 pale bands or if with 3 bands then subapical band much shorter than the apical band,,,Wing vein 5 entirely dark except for a single pale spot on the upper branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Pale banding on hindtarsomeres narrow and apical only,Preaccessory dark spot on wing vein 1 about twice as long as pale spot on either side of it,,,,
distinctus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing without a pale spot on basal 0.5 of costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus smooth except at extreme base,,Maxillary palpus with apex pale,,Outer 0.5 of costa with 1–3 well-marked pale areas; maxillary palpus not so,Maxillary palpus either with 4 pale bands or if with 3 bands then subapical band much shorter than the apical band,,,"Wing vein 5 with extensive pale areas, upper branch of vein 5 with 2 pale spots",Hindtarsomeres 1 to 4 with distinct apical pale bands; scutum clothed with very narrow scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schwetzi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",,Maxillary palpus with apex pale,Maxillary palpus with 4 pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus smooth except at extreme base,,Maxillary palpus with apex pale,,Outer 0.5 of costa with 1–3 well-marked pale areas; maxillary palpus not so,Maxillary palpus either with 4 pale bands or if with 3 bands then subapical band much shorter than the apical band,,,"Wing vein 5 with extensive pale areas, upper branch of vein 5 with 2 pale spots",Hindtarsomeres 1 to 4 entirely dark or with a few pale scales at apices of 1 to 3; scutum scales broad,,,,,,,,,,,,,,,3rd main dark area of wing vein 1 with a pale interruption,Abdominal terga without such scales; hindtarsomeres entirely dark or with a few pale scales at apices of hindtarsomeres 1 to 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walravensi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing without a pale spot on basal 0.5 of costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus smooth except at extreme base,,Maxillary palpus with apex pale,,Outer 0.5 of costa with 1–3 well-marked pale areas; maxillary palpus not so,Maxillary palpus either with 4 pale bands or if with 3 bands then subapical band much shorter than the apical band,,,"Wing vein 5 with extensive pale areas, upper branch of vein 5 with 2 pale spots",Hindtarsomeres 1 to 4 entirely dark or with a few pale scales at apices of 1 to 3; scutum scales broad,Scutal scales white throughout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jebudensis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus entirely dark or without distinct pale bands,"Wing with well-contrasting pale and dark areas, basal 0.25 of costa with at least 1 pale area, even if narrow; head scales not so","Costa without a humeral pale spot, subapical pale spot present on costa and vein 1",Wing with pale fringe spots opposite all veins except vein 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faini,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus entirely dark or without distinct pale bands,"Wing with well-contrasting pale and dark areas, basal 0.25 of costa with at least 1 pale area, even if narrow; head scales not so","Costa without a humeral pale spot, subapical pale spot present on costa and vein 1",Wing with no pale fringe spots posterior to vein 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkhudi,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,"Wing generally pale, contrast between pale and dark areas, apart from costa and vein 1, poorly defined",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wilsoni,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,,Maxillary palpus with 4 pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with 2 pale interruptions,"Pale bands on maxillary palpus very narrow, at apices of segments 2 to 4 and not overlapping the joints; upper branch of wing vein 5 with a single pale spot",,,,,,,3rd main dark area of wing vein 1 with a pale interruption,Abdominal terga without such scales; hindtarsomeres entirely dark or with a few pale scales at apices of hindtarsomeres 1 to 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rageaui,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with at most 1 pale interruption,,"Wing, apart from costa and vein 1, predominantly dark, no pale spots on basal 0.25 of costa",Wing vein 6 dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fontinalis,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with at most 1 pale interruption,,"Wing, apart from costa and vein 1, predominantly dark, no pale spots on basal 0.25 of costa",Wing vein 6 dark,Basal 0.2 of wing vein 1 entirely pale,"Wings scantily scaled, all wing scales very narrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lovettae,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,Maxillary palpus with apex dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with at most 1 pale interruption,,"Wing, apart from costa and vein 1, predominantly dark, no pale spots on basal 0.25 of costa",Wing vein 6 dark,Basal 0.2 of wing vein 1 entirely pale,"Wings heavily scaled, upstanding scales moderately broad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinereus,,Abdominal segments not with laterally projecting tufts of scales on segments II-VII,Hindtarsus with at most of last 2 hindtarsomeres entirely pale?,"Hindtarsomere 5 not mainly or entirely dark, or hindtarsomere 4 dark",Legs not speckled,"Wing not entirely dark, with pale spots not confined to costa and vein 1",Wing with at least 1 pale spot on basal 0.5 of costa,,Maxillary palpus with 4 pale bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxillary palpus with 3 pale bands,,,,Wing with well-contrasting pale and dark areas,2nd main dark area of wing vein 1 with at most 1 pale interruption,,"Pale and dark areas on wing about equally distributed, humeral and presector pale spots present on costa",,,,"Basal pale band of maxillary palpus about equal to or slightly shorter than median band, broadly overlapping base of 3rd segment",,3rd main dark area without a pale interruption,,2nd main dark area of wing vein 1 with 1 pale interruption,"Pale bands on maxillary palpus broad, basal band overlapping base of 3rd segment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
